Estado,Abbrev,Estado
Aguascalientes,AG,Aguascalientes
Baja California Norte,BN,Baja California
Baja California Sur,BS,Baja California Sur
Coahuila,CH,Coahuila
Chihuahua,CI,Chihuahua
Colima,CL,Colima
Campeche,CP,Campeche
Chiapas,CS,Chiapas
Distrito Federal,DF,Distrito Federal
Durango,DG,Durango
Guerrero,GE,Guerrero
Guanajuato,GJ,Guanajuato
Hidalgo,HD,Hidalgo
Jalisco,JA,Jalisco
Michoacan,MC,Michoacan
Morelos,MR,Morelos
Mexico,MX,Mexico
Nayarit,NA,Nayarit
Nuevo Leon,NL,Nuevo Leon
Oaxaca,OA,Oaxaca
Puebla,PU,Puebla
Queretaro,QE,Queretaro
Quintana Roo,QI,Quintana Roo
Sinaloa,SI,Sinaloa
San Luis Potosi,SL,San Luis Potosi
Sonora,SO,Sonora
Tamaulipas,TA,Tamaulipas
Tabasco,TB,Tabasco
Tlaxcala,TL,Tlaxcala
Veracruz,VC,Veracruz
Yucatan,YU,Yucatan
Zacatecas,ZA,Zacatecas
